Eng,Ja
band, しばるもの
probable, ありそうな
building, 建設
about, ～について
food, 食べ物
tired, 疲れた
system, システム
ink, インク
death, 絶命
wool, 羊毛
power, 力
motion, 動き
size, サイズ
much, ほぼ
wide, 幅広い
blade, 刃物
history, 歴史
swim, 泳ぎ
rest, 休む
learning, 修得
pin, ピン
young, 若い
but, しかし
month, 月
physical, 物理的
orange, オレンジがかった
form, 形姿
tax, 課税
basket, かご
slope, 傾ける
very, とても
living, 生きている
room, 部屋
all, すべて
light, 明るい
example, 見本
flag, 旗
event, できごと
camera, カメラ
sky, 空
boat, 小船
blood, 血液
brown, 茶色い
name, 名前
effect, 結果
money, 硬貨
morning, 朝
cry, めそめそする
hope, 実現させたいと願う
cheese, チーズ名詞】
