Eng,Ja
sharp, するどい
almost, ほぼ
laugh, 笑う
turn, 回転させる
form, 形姿
snow, 雪が降る
impulse, 衝動
mouth, 口
possible, ありうる
up, 上方へ
circle, 一回り
neck, 首
hat, 帽子
company, 付添い
sex, 性別
among, ～の間に
only, ただひとり
memory, 記憶
farm, 農場
agreement, 協定
argument, 議論
hanging, つりさげ
detail, 詳しく述べる
wire, 針金
forward, 前に
into, (入った)中に
death, 絶命
flag, 旗
tail, 尻尾
side, 片面
tight, 窮屈な
peace, 和平
disease, 不快な状態
knee, ひざ
control, 制御する
thunder, 雷
fish, 魚
trousers, ズボン
hole, 穴
boy, 男の子
twist, ひねる
steel, 鋼鉄
brain, 頭脳
word, 言葉
war, 戦争
round, まるい
old, 古い
news, ニュース
far, はるかに
blow, 吹く
