Eng,Ja
pin, ピン
profit, 得する
story, 物語
increase, 増やす
there, そこに
smell, においがする
window, ウィンドウ
library, ライブラリ
law, 法律
cloud, 雲
growth, 成長
together, 同時に
and, ～と
cheap, 安上がりな
frame, 骨組み
thunder, 雷
muscle, 筋肉
automatic, 自動的な
office, オフィス
arch, カーブ
when, 時期
danger, リスク
train, 列車
mind, 気持ち
here, ここに
important, 重要な
drain, 排水路
west, 西
condition, 条件
laugh, 笑う
angry, 怒った
sharp, するどい
system, システム
tree, 木
selection, 選択
slow, 遅い
balance, バランスをとる
family, 家族
all, すべて
rate, 割合
flat, フラット
information, 情報
food, 食べ物
spoon, スプーン
committee, コミッティ
steam, 蒸す
snake, ヘビ
crack, ひびわれる
act, 行動する
color, 色合い
