Eng,Ja
and, ～と
surprise, 驚き
noise, 騒ぐ
much, ほぼ
leaf, 葉っぱ
spade, スペード
potato, ジャガイモ
bell, ベル
yes, 肯定的な返答
weather, 天気
male, 男性
steel, 鋼鉄
ink, インク
dependent, 依存した
only, ただひとり
person, 個人
attraction, 魅力
design, 計画
cause, 原因
such, こんな
base, 基礎づける
education, 教育
work, 労働
natural, 自然な
there, そこに
fall, 落ちる
flat, フラット
scissors, はさみ
comparison, 比較
open, 開いた
roll, 転がる
feeble, 弱々しい
money, 硬貨
prose, 散文
porter, 運搬人
old, 古い
join, 交わる
world, 世界
probable, ありそうな
seem, 見える
tray, お盆
jelly, ゼリー化する
living, 生きている
statement, 述べる
country, 国家
false, 間違った
waste, 浪費する
wine, ワイン
cheap, 安上がりな
collar, エリ
