Eng,Ja
key, 鍵
data, データ
knee, ひざ
effect, 結果
cultivate, 耕す
relation, 結付き
balance, バランスをとる
produce, 生産する
carriage, 乗り物
kiss, くちづけ
paper, 紙
hole, 穴
army, 軍団
while, 期間
cut, カットされた
basket, かご
money, 硬貨
approval, 賛成
mouth, 口
end, 終える
reaction, 反応
middle, 中位
please, 喜ばせる
see, 見る
story, 物語
wall, カベ
credit, 信用
shock, ショック
financial, 財務上の
arch, カーブ
stone, 石
wool, 羊毛
mass, 大きな塊
metal, メタリック
general, 世間一般の
camera, カメラ
list, 挙げる
value, 価値
seem, 見える
tin, スズ
tree, 木
amount, 量
information, 情報
control, 制御する
record, レコード
collar, エリ
payment, 入金
floor, 床
process, 過程
automatic, 自動的な
