Eng,Ja
tree, 木
range, 範囲
verse, 詩節
stem, 茎
band, しばるもの
east, 東
cold, 冷たい
time, 時
electric, 電気の
increase, 増やす
committee, コミッティ
gun, 銃
automatic, 自動的な
wide, 幅広い
secret, 秘密の
out, 外に
chief, 主要な
train, 列車
teaching, 教え
garden, 庭いじりをする
branch, 枝
eye, 目
regular, 普通の
pencil, 鉛筆
map, 地図
land, 土地
egg, 卵
shade, 影
knot, 結ぶ
good, 良い
around, 周りに
apple, リンゴ
mist, 霧
wing, つばさ
war, 戦争
air, 空気
detail, 詳しく述べる
room, 部屋
attention, 注意
fruit, くだもの
reward, 報いる
financial, 財務上の
for, ～のために
still, 静かな
healthy, 健康な
page, ページ
tooth, 歯
where, 場所
in, 中に
decision, 判断
