Eng,Ja
after, ～の後に
possible, ありうる
light, 明るい
if, もしも
rub, こする
payment, 入金
deep, 深い
wash, 洗う
still, 静かな
against, 反抗して
color, 色合い
top, てっぺん
chain, くさり
agreement, 協定
end, 終える
lead, 導く
current, 流れ
key, 鍵
touch, タッチ
ticket, チケット
girl, 令嬢
bed, ベッド
head, アタマ
store, 商店
gray, 灰色の
pig, ぶた
leg, 脚
horse, 馬
sweet, 優しい
fear, 恐怖
feeble, 弱々しい
chance, 賭け
cultivate, 耕す
cut, カットされた
yellow, 黄色い
brother, 兄
curve, 曲がる
safe, 安全な
quality, 品質
example, 見本
level, 水平になる
structure, 構造
down, 下に
month, 月
military, 軍事的な
condition, 条件
time, 時
bee, 蜂
coat, コート
hour, 時間
