Eng,Ja
white, 白い
hanging, つりさげ
sister, 姉妹
receipt, 受取り
insect, 虫
bath, 入浴
glove, 手袋
driving, 運転
push, 押す
chance, 賭け
air, 空気
trade, 交換
regular, 普通の
thin, 痩せた
need, 動機
special, 特別の
opinion, 意見
hole, 穴
reaction, 反応
sudden, 急激
verse, 詩節
friend, 友達
fact, 事実
use, 使う
owner, 持主
nerve, 神経
moon, 月
acid, すっぱい
sign, 記号
brother, 兄
cover, おおう
poor, 貧乏な
hate, うらむ
industry, 産業
kettle, 湯わかし
fiction, 作り話
hard, 必死に
safe, 安全な
fire, 焼く
bright, 明々と
day, 昼間
shock, ショック
red, 赤い
then, それから
baby, ベビー
stretch, 伸張
private, 秘密の
worm, 虫
stiff, こわばった
dark, 暗い
